title,description,department,year
6.1100 Computer Language Engineering,"6.1100 Computer Language Engineering()Prereq:6.1020and6.1910Units: 4-4-4Lecture:MWF11(32-123)Recitation:TR12(32-155)Analyzes issues associated with the implementation of higher-level programming languages. Fundamental concepts, functions, and structures of compilers. The interaction of theory and practice. Using tools in building software. Includes a multi-person project on compiler design and implementation.M. RinardNo textbook information available",MIT - EECS,2024
6.1120 Dynamic Computer Language Engineering,"6.1120 Dynamic Computer Language Engineering()Prereq:6.1020or6.1910Units: 4-4-4Studies the design and implementation of modern, dynamic programming languages. Topics include fundamental approaches for parsing, semantics and interpretation, virtual machines, garbage collection, just-in-time machine code generation, and optimization. Includes a semester-long, group project that delivers a virtual machine that spans all of these topics.M. Rinard",MIT - EECS,2024
6.5110 Foundations of Program Analysis,"6.5110 Foundations of Program Analysis()Not offered regularly; consult departmentPrereq:6.1100Units: 3-0-9Presents major principles and techniques for program analysis. Includes formal semantics, type systems and type-based program analysis, abstract interpretation and model checking and synthesis. Emphasis on Haskell and Ocaml, but no prior experience in these languages is assumed. Student assignments include implementing of techniques covered in class, including building simple verifiers.A. Solar-Lezama",MIT - EECS,2024
6.5120 Formal Reasoning About Programs,"6.5120 Formal Reasoning About Programs()Prereq:6.1020and6.1200Units: 3-0-9Surveys techniques for rigorous mathematical reasoning about correctness of software, emphasizing commonalities across approaches. Introduces interactive computer theorem proving with the Coq proof assistant, which is used for all assignments, providing immediate feedback on soundness of logical arguments. Covers common program-proof techniques, including operational semantics, model checking, abstract interpretation, type systems, program logics, and their applications to functional, imperative, and concurrent programs. Develops a common conceptual framework based on invariants, abstraction, and modularity applied to state and labeled transition systems.A. Chlipala",MIT - EECS,2024
6.5150 Large-scale Symbolic Systems,"6.5150 Large-scale Symbolic Systems()(Subject meets with6.5151)Prereq:6.4100or permission of instructorUnits: 3-0-9Lecture:MWF2(35-225)Concepts and techniques for the design and implementation of large software systems that can be adapted to uses not anticipated by the designer. Applications include compilers, computer-algebra systems, deductive systems, and some artificial intelligence applications. Covers means for decoupling goals from strategy, mechanisms for implementing additive data-directed invocation, work with partially-specified entities, and how to manage multiple viewpoints. Topics include combinators, generic operations, pattern matching, pattern-directed invocation, rule systems, backtracking, dependencies, indeterminacy, memoization, constraint propagation, and incremental refinement. Students taking graduate version complete additional assignments.G. J. SussmanNo textbook information available",MIT - EECS,2024
6.5151 Large-scale Symbolic Systems,"6.5151 Large-scale Symbolic Systems()(Subject meets with6.5150)Prereq:6.4100or permission of instructorUnits: 3-0-9Lecture:MWF2(35-225)Concepts and techniques for the design and implementation of large software systems that can be adapted to uses not anticipated by the designer. Applications include compilers, computer-algebra systems, deductive systems, and some artificial intelligence applications. Covers means for decoupling goals from strategy, mechanisms for implementing additive data-directed invocation, work with partially-specified entities, and how to manage multiple viewpoints. Topics include combinators, generic operations, pattern matching, pattern-directed invocation, rule systems, backtracking, dependencies, indeterminacy, memoization, constraint propagation, and incremental refinement. Students taking graduate version complete additional assignments.G. SussmanTextbooks (Spring 2025)",MIT - EECS,2024
6.5160[J] Classical Mechanics: A Computational Approach,"6.5160[J] Classical Mechanics: A Computational Approach()(Same subject as8.351[J],12.620[J])Prereq:Physics I (GIR),18.03, and permission of instructorUnits: 3-3-6Classical mechanics in a computational framework, Lagrangian formulation, action, variational principles, and Hamilton's principle. Conserved quantities, Hamiltonian formulation, surfaces of section, chaos, and Liouville's theorem. Poincaré integral invariants, Poincaré-Birkhoff and KAM theorems. Invariant curves and cantori. Nonlinear resonances, resonance overlap and transition to chaos. Symplectic integration. Adiabatic invariants. Applications to simple physical systems and solar system dynamics. Extensive use of computation to capture methods, for simulation, and for symbolic analysis. Programming experience required.J. Wisdom, G. J. Sussman",MIT - EECS,2024
6.1200[J] Mathematics for Computer Science,"6.1200[J] Mathematics for Computer Science(,)(Same subject as18.062[J])Prereq:Calculus I (GIR)Units: 5-0-7Lecture:TR2.30-4(26-100)Recitation:WF10(38-166,36-155) orWF11(38-166,36-155,26-168) orWF12(38-166,36-156,26-168) orWF1(38-166,36-156,35-310) orWF2(38-166,36-156,35-308) orWF3(38-166,36-156)+finalElementary discrete mathematics for science and engineering, with a focus on mathematical tools and proof techniques useful in computer science. Topics include logical notation, sets, relations, elementary graph theory, state machines and invariants, induction and proofs by contradiction, recurrences, asymptotic notation, elementary analysis of algorithms, elementary number theory and cryptography, permutations and combinations, counting tools, and discrete probability.Fall:Z. AbelSpring:Z. AbelNo textbook information available",MIT - EECS,2024
6.120A Discrete Mathematics and Proof for Computer Science,"6.120A Discrete Mathematics and Proof for Computer Science(); second half of termPrereq:Calculus I (GIR)Units: 3-0-3Begins Mar 31.Lecture:TR1-2.30(32-144)Recitation:WF1(13-3101) orWF2(13-3101)+finalSubset of elementary discrete mathematics for science and engineering useful in computer science. Topics may include logical notation, sets, done relations, elementary graph theory, state machines and invariants, induction and proofs by contradiction, recurrences, asymptotic notation, elementary analysis of algorithms, elementary number theory and cryptography, permutations and combinations, counting tools.P. JailletNo textbook information available",MIT - EECS,2024
6.1210 Introduction to Algorithms,"6.1210 Introduction to Algorithms(,)Prereq:6.100Aand (6.1200or (6.120Aand (6.3700,6.3800,18.05, or18.600)))Units: 5-0-7Lecture:TR11-12.30(26-100)Recitation:WF10(34-304,34-303,36-156) orWF11(34-304,34-303,34-301) orWF12(34-304,34-301) orWF1(34-304,34-303,34-301) orWF2(34-304,34-303,34-301) orWF3(34-304,34-301) orWF4(34-304) orWF10(36-153) orWF4(36-155)+finalIntroduction to mathematical modeling of computational problems, as well as common algorithms, algorithmic paradigms, and data structures used to solve these problems. Emphasizes the relationship between algorithms and programming, and introduces basic performance measures and analysis techniques for these problems. Enrollment may be limited.Fall:B. ChapmanSpring:B. ChapmanNo textbook information available",MIT - EECS,2024
6.1220[J] Design and Analysis of Algorithms,"6.1220[J] Design and Analysis of Algorithms(,)(Same subject as18.410[J])Prereq:6.1200and6.1210Units: 4-0-8Lecture:TR11-12.30(32-123)Recitation:F9(36-112) orF10(36-112) orF11(36-112) orF12(36-112) orF1(36-112) orF2(36-112) orF3(36-112) orF10(24-121) orF11(4-265) orF12(4-265) orF1(4-265) orF2(24-121) orF3(24-121)+finalTechniques for the design and analysis of efficient algorithms, emphasizing methods useful in practice. Topics include sorting; search trees, heaps, and hashing; divide-and-conquer; dynamic programming; greedy algorithms; amortized analysis; graph algorithms; and shortest paths. Advanced topics may include network flow; computational geometry; number-theoretic algorithms; polynomial and matrix calculations; caching; and parallel computing.Fall:S. RaghuramanSpring:S. RaghuramanTextbooks (Spring 2025)",MIT - EECS,2024
6.1400[J] Computability and Complexity Theory,"6.1400[J] Computability and Complexity Theory()(Same subject as18.400[J])Prereq: (6.1200and6.1210) or permission of instructorUnits: 4-0-8Lecture:TR2.30-4(37-212)Recitation:F11(4-257) orF1(24-121)+finalMathematical introduction to the theory of computing. Rigorously explores what kinds of tasks can be efficiently solved with computers by way of finite automata, circuits, Turing machines, and communication complexity, introducing students to some major open problems in mathematics. Builds skills in classifying computational tasks in terms of their difficulty. Discusses other fundamental issues in computing, including the Halting Problem, the Church-Turing Thesis, the P versus NP problem, and the power of randomness.R. WilliamsTextbooks (Spring 2025)",MIT - EECS,2024
6.1420 Fixed Parameter and Fine-grained Computation,"6.1420 Fixed Parameter and Fine-grained Computation()Prereq:6.1200,6.1210, and (6.1220,6.1400, or18.404)Units: 3-0-9An overview of the theory of parameterized algorithms and the ""problem-centric"" theory of fine-grained complexity, both of which reconsider how to measure the difficulty and feasibility of solving computational problems. Topics include: fixed-parameter tractability (FPT) and its characterizations, the W-hierarchy (W[1], W[2], W[P], etc.), 3-sum-hardness, all-pairs shortest paths (APSP)-equivalences, strong exponential time hypothesis (SETH) hardness of problems, and the connections to circuit complexity and other aspects of computing.V. Vassilevska Williams",MIT - EECS,2024
6.5210[J] Advanced Algorithms,"6.5210[J] Advanced Algorithms()(Same subject as18.415[J])Prereq:6.1220and (6.1200,6.3700, or18.600)Units: 5-0-7First-year graduate subject in algorithms. Emphasizes fundamental algorithms and advanced methods of algorithmic design, analysis, and implementation. Surveys a variety of computational models and the algorithms for them. Data structures, network flows, linear programming, computational geometry, approximation algorithms, online algorithms, parallel algorithms, external memory, streaming algorithms.D. Karger",MIT - EECS,2024
6.5220[J] Randomized Algorithms,"6.5220[J] Randomized Algorithms()(Same subject as18.416[J])Prereq: (6.1200or6.3700) and (6.1220or6.5210)Units: 5-0-7Studies how randomization can be used to make algorithms simpler and more efficient via random sampling, random selection of witnesses, symmetry breaking, and Markov chains. Models of randomized computation. Data structures: hash tables, and skip lists. Graph algorithms: minimum spanning trees, shortest paths, and minimum cuts. Geometric algorithms: convex hulls, linear programming in fixed or arbitrary dimension. Approximate counting; parallel algorithms; online algorithms; derandomization techniques; and tools for probabilistic analysis of algorithms.Staff",MIT - EECS,2024
6.5230 Advanced Data Structures,6.5230 Advanced Data Structures()Prereq:6.1220Units: 3-0-9More advanced and powerful data structures for answering several queries on the same data. Such structures are crucial in particular for designing efficient algorithms. Dictionaries; hashing; search trees. Self-adjusting data structures; linear search; splay trees; dynamic optimality. Integer data structures; word RAM. Predecessor problem; van Emde Boas priority queues; y-fast trees; fusion trees. Lower bounds; cell-probe model; round elimination. Dynamic graphs; link-cut trees; dynamic connectivity. Strings; text indexing; suffix arrays; suffix trees. Static data structures; compact arrays; rank and select. Succinct data structures; tree encodings; implicit data structures. External-memory and cache-oblivious data structures; B-trees; buffer trees; tree layout; ordered-file maintenance. Temporal data structures; persistence; retroactivity.Staff,MIT - EECS,2024
6.5240 Sublinear Time Algorithms,"6.5240 Sublinear Time Algorithms()Prereq:6.1220or permission of instructorUnits: 3-0-9Sublinear time algorithms understand parameters and properties of input data after viewing only a minuscule fraction of it. Tools from number theory, combinatorics, linear algebra, optimization theory, distributed algorithms, statistics, and probability are covered. Topics include: testing and estimating properties of distributions, functions, graphs, strings, point sets, and various combinatorial objects.R. Rubinfeld",MIT - EECS,2024
6.5250[J] Distributed Algorithms,"6.5250[J] Distributed Algorithms()(Same subject as18.437[J])Prereq:6.1220Units: 3-0-9Design and analysis of algorithms, emphasizing those suitable for use in distributed networks. Covers various topics including distributed graph algorithms, locality constraints, bandwidth limitations and communication complexity, process synchronization, allocation of computational resources, fault tolerance, and asynchrony. No background in distributed systems required.Staff",MIT - EECS,2024
"6.5310 Geometric Folding Algorithms: Linkages, Origami, Polyhedra","6.5310 Geometric Folding Algorithms: Linkages, Origami, Polyhedra()Prereq:6.1220or permission of instructorUnits: 3-0-9Lecture:TR11-12.30(32-082)Covers discrete geometry and algorithms underlying the reconfiguration of foldable structures, with applications to robotics, manufacturing, and biology. Linkages made from one-dimensional rods connected by hinges: constructing polynomial curves, characterizing rigidity, characterizing unfoldable versus locked, protein folding. Folding two-dimensional paper (origami): characterizing flat foldability, algorithmic origami design, one-cut magic trick. Unfolding and folding three-dimensional polyhedra: edge unfolding, vertex unfolding, gluings, Alexandrov's Theorem, hinged dissections.E. DemaineTextbooks (Spring 2025)",MIT - EECS,2024
6.5320 Geometric Computing,"6.5320 Geometric Computing()Prereq:6.1220Units: 3-0-9Introduction to the design and analysis of algorithms for geometric problems, in low- and high-dimensional spaces. Algorithms: convex hulls, polygon triangulation, Delaunay triangulation, motion planning, pattern matching. Geometric data structures: point location, Voronoi diagrams, Binary Space Partitions. Geometric problems in higher dimensions: linear programming, closest pair problems. High-dimensional nearest neighbor search and low-distortion embeddings between metric spaces. Geometric algorithms for massive data sets: external memory and streaming algorithms. Geometric optimization.Staff",MIT - EECS,2024
6.5340 Topics in Algorithmic Game Theory,"6.5340 Topics in Algorithmic Game Theory()Not offered regularly; consult departmentPrereq:6.1210or6.1220Units: 3-0-9Presents research topics at the interface of computer science and game theory, with an emphasis on algorithms and computational complexity. Explores the types of game-theoretic tools that are applicable to computer systems, the loss in system performance due to the conflicts of interest of users and administrators, and the design of systems whose performance is robust with respect to conflicts of interest inside the system. Algorithmic focus is on algorithms for equilibria, the complexity of equilibria and fixed points, algorithmic tools in mechanism design, learning in games, and the price of anarchy.K. Daskalakis",MIT - EECS,2024
6.5350 Matrix Multiplication and Graph Algorithms,"6.5350 Matrix Multiplication and Graph Algorithms()Prereq:6.1220Units: 3-0-9Lecture:TR11-12.30(45-102)Explores topics around matrix multiplication (MM) and its use in the design of graph algorithms. Focuses on problems such as transitive closure, shortest paths, graph matching, and other classical graph problems. Explores fast approximation algorithms when MM techniques are too expensive.V. Vassilevska WilliamsNo textbook information available",MIT - EECS,2024
6.5400[J] Theory of Computation,"6.5400[J] Theory of Computation()(Same subject as18.4041[J])(Subject meets with18.404)Prereq:6.1200or18.200Units: 4-0-8A more extensive and theoretical treatment of the material in 6.1400J/18.400J, emphasizing computability and computational complexity theory. Regular and context-free languages. Decidable and undecidable problems, reducibility, recursive function theory. Time and space measures on computation, completeness, hierarchy theorems, inherently complex problems, oracles, probabilistic computation, and interactive proof systems. Students in Course 18 must register for the undergraduate version, 18.404.M. Sipser",MIT - EECS,2024
6.5410[J] Advanced Complexity Theory,"6.5410[J] Advanced Complexity Theory()(Same subject as18.405[J])Prereq:18.404Units: 3-0-9Lecture:TR11-12.30(4-163)Current research topics in computational complexity theory. Nondeterministic, alternating, probabilistic, and parallel computation models. Boolean circuits. Complexity classes and complete sets. The polynomial-time hierarchy. Interactive proof systems. Relativization. Definitions of randomness. Pseudo-randomness and derandomizations. Interactive proof systems and probabilistically checkable proofs.D. MinzerNo textbook information available",MIT - EECS,2024
6.5420 Randomness and Computation,"6.5420 Randomness and Computation()Prereq:6.1220and18.4041Units: 3-0-9The power and sources of randomness in computation. Connections and applications to computational complexity, computational learning theory, cryptography and combinatorics. Topics include: probabilistic proofs, uniform generation and approximate counting, Fourier analysis of Boolean functions, computational learning theory, expander graphs, pseudorandom generators, derandomization.R. Rubinfeld",MIT - EECS,2024
6.5430 Quantum Complexity Theory,"6.5430 Quantum Complexity Theory()Prereq:6.1400,18.4041, and18.435Units: 3-0-9Introduction to quantum computational complexity theory, the study of the fundamental capabilities and limitations of quantum computers. Topics include complexity classes, lower bounds, communication complexity, proofs and advice, and interactive proof systems in the quantum world; classical simulation of quantum circuits. The objective is to bring students to the research frontier.Staff",MIT - EECS,2024
6.1600 Foundations of Computer Security,"6.1600 Foundations of Computer Security()Prereq: (6.1210and (6.1800or6.1810)) or permission of instructorUnits: 4-0-8Fundamental notions and big ideas for achieving security in computer systems. Topics include cryptographic foundations (pseudorandomness, collision-resistant hash functions, authentication codes, signatures, authenticated encryption, public-key encryption), systems ideas (isolation, non-interference, authentication, access control, delegation, trust), and implementation techniques (privilege separation, fuzzing, symbolic execution, runtime defenses, side-channel attacks). Case studies of how these ideas are realized in deployed systems. Lab assignments apply ideas from lectures to learn how to build secure systems and how they can be attacked.S. Devadas",MIT - EECS,2024
6.5610 Applied Cryptography,"6.5610 Applied Cryptography()Prereq:6.1200and (6.1800or6.1810)Units: 4-0-8Lecture:MW11-12.30(6-120)Recitation:F11(1-190)Covers advanced applications of cryptography, implementation of cryptographic primitives, and cryptanalysis. Topics may include: proof systems; zero knowledge; secret sharing; multiparty computation; fully homomorphic encryption; electronic voting; design of block ciphers and hash functions; elliptic-curve and lattice-based cryptosystems; and algorithms for collision-finding, discrete-log, and factoring. Assignments include a final group project. Topics may vary from year to year.Y. KalaiNo textbook information available",MIT - EECS,2024
6.5620[J] Foundations of Cryptography,"6.5620[J] Foundations of Cryptography()(Same subject as18.425[J])Prereq:6.1220,6.1400, or18.4041Units: 3-0-9A rigorous introduction to modern cryptography. Emphasis on the fundamental cryptographic primitives such as public-key encryption, digital signatures, and pseudo-random number generation, as well as advanced cryptographic primitives such as zero-knowledge proofs, homomorphic encryption, and secure multiparty computation.Staff",MIT - EECS,2024
6.5630 Advanced Topics in Cryptography,6.5630 Advanced Topics in Cryptography()Prereq:6.5620Units: 3-0-9In-depth exploration of recent results in cryptography.V. Vaikuntanathan,MIT - EECS,2024
6.5660 Computer Systems Security,"6.5660 Computer Systems Security()Prereq:6.1020and (6.1800or6.1810)Units: 3-6-3Design and implementation of secure computer systems. Lectures cover attacks that compromise security as well as techniques for achieving security, based on recent research papers. Topics include operating system security, privilege separation, capabilities, language-based security, cryptographic network protocols, trusted hardware, and security in web applications and mobile phones. Labs involve implementing and compromising a web application that sandboxes arbitrary code, and a group final project.Staff",MIT - EECS,2024
6.1800 Computer Systems Engineering,"6.1800 Computer Systems Engineering()Prereq:6.1910Units: 5-1-6URL:https://mit.edu/6.1800Lecture:MW2(26-100)Lab:F1(36-144) orF2(36-144) orF1(26-142) orF2(26-142) orF1(26-210) orF2(26-210) orF1(26-314) orF2(26-314) orF1(4-149) orF2(4-149) orF1(4-261) orF2(4-261) orF1(4-145) orF2(4-145) orF1(24-307) orF2(24-307)Recitation:TR10(34-301,36-153,36-156) orTR11(34-301,36-153,36-156,34-303) orTR12(34-303,36-155) orTR1(34-302,35-310,36-155,24-307) orTR2(34-302,35-308,24-307)+finalTopics on the engineering of computer software and hardware systems: techniques for controlling complexity; strong modularity using client-server design, operating systems; performance, networks; naming; security and privacy; fault-tolerant systems, atomicity and coordination of concurrent activities, and recovery; impact of computer systems on society. Case studies of working systems and readings from the current literature provide comparisons and contrasts. Includes a single, semester-long design project. Students engage in extensive written communication exercises. Enrollment may be limited.K. LaCurtsTextbooks (Spring 2025)",MIT - EECS,2024
6.1810 Operating System Engineering,"6.1810 Operating System Engineering()Prereq:6.1910Units: 3-0-9Design and implementation of operating systems, and their use as a foundation for systems programming. Topics include virtual memory, file systems, threads, context switches, kernels, interrupts, system calls, interprocess communication, coordination, and interaction between software and hardware. A multi-processor operating system for RISC-V, xv6, is used to illustrate these topics. Individual laboratory assignments involve extending the xv6 operating system, for example to support sophisticated virtual memory features and networking.M. Kaashoek",MIT - EECS,2024
6.1820[J] Mobile and Sensor Computing,"6.1820[J] Mobile and Sensor Computing()(Same subject asMAS.453[J])Prereq:6.1800or permission of instructorUnits: 3-0-9Lecture:TR1-2.30(24-121)Focuses on ""Internet of Things"" (IoT) systems and technologies, sensing, computing, and communication. Explores fundamental design and implementation issues in the engineering of mobile and sensor computing systems. Topics include battery-free sensors, seeing through wall, robotic sensors, vital sign sensors (breathing, heartbeats, emotions), sensing in cars and autonomous vehicles, subsea IoT, sensor security, positioning technologies (including GPS and indoor WiFi), inertial sensing (accelerometers, gyroscopes, inertial measurement units, dead-reckoning), embedded and distributed system architectures, sensing with radio signals, sensing with microphones and cameras, wireless sensor networks, embedded and distributed system architectures, mobile libraries and APIs to sensors, and application case studies. Includes readings from research literature, as well as laboratory assignments and a significant term project.F. AdibNo textbook information available",MIT - EECS,2024
6.1850 Computer Systems and Society,"6.1850 Computer Systems and Society()Prereq:6.1800Units: 3-0-9Explores the impact of computer systems on individual humans, society, and the environment. Examines large- and small-scale power structures that stem from low-level technical design decisions, the consequences of those structures on society, and how they can limit or provide access to certain technologies. Students learn to assess design decisions within an ethical framework and consider the impact of their decisions on non-users. Case studies of working systems and readings from the current literature provide comparisons and contrasts. Possible topics include the implications of hierarchical designs (e.g., DNS) for scale; how layered models influence what parts of a network have the power to take certain actions; and the environmental impact of proof-of-work-based systems such as Bitcoin. Enrollment may be limited.K. Lacurts",MIT - EECS,2024
6.5810 Operating System Engineering,"6.5810 Operating System Engineering()Prereq:6.1020and (6.1800or6.1810)Units: 3-6-3Fundamental design and implementation issues in the engineering of operating systems. Lectures based on the study of a symmetric multiprocessor version of UNIX version 6 and research papers. Topics include virtual memory; file system; threads; context switches; kernels; interrupts; system calls; interprocess communication; coordination, and interaction between software and hardware. Individual laboratory assignments accumulate in the construction of a minimal operating system (for an x86-based personal computer) that implements the basic operating system abstractions and a shell. Knowledge of programming in the C language is a prerequisite.Staff",MIT - EECS,2024
6.5820 Computer Networks,"6.5820 Computer Networks()Prereq:6.1800or permission of instructorUnits: 4-0-8Topics on the engineering and analysis of network protocols and architecture, including architectural principles for designing heterogeneous networks; transport protocols; Internet routing; router design; congestion control and network resource management; wireless networks; network security; naming; overlay and peer-to-peer networks. Readings from original research papers. Semester-long project and paper.H. Balakrishnan",MIT - EECS,2024
6.5830 Database Systems,"6.5830 Database Systems()(Subject meets with6.5831)Prereq: ((6.1210or6.1220) and (6.1800or6.1810)) or permission of instructorUnits: 3-0-9Topics related to the engineering and design of database systems, including data models; database and schema design; schema normalization and integrity constraints; query processing; query optimization and cost estimation; transactions; recovery; concurrency control; isolation and consistency; distributed, parallel and heterogeneous databases; adaptive databases; trigger systems; pub-sub systems; semi structured data and XML querying. Lecture and readings from original research papers. Semester-long project and paper. Students taking graduate version complete different assignments. Enrollment may be limited.S. R. Madden",MIT - EECS,2024
6.5831 Database Systems,"6.5831 Database Systems()(Subject meets with6.5830)Prereq: ((6.1210or6.1220) and (6.1800or6.1810)) or permission of instructorUnits: 3-0-9Topics related to the engineering and design of database systems, including data models; database and schema design; schema normalization and integrity constraints; query processing; query optimization and cost estimation; transactions; recovery; concurrency control; isolation and consistency; distributed, parallel and heterogeneous databases; adaptive databases; trigger systems; pub-sub systems; semi structured data and XML querying. Lecture and readings from original research papers. Semester-long project and paper. Students taking graduate version complete different assignments. Enrollment may be limited.S. R. Madden",MIT - EECS,2024
6.5840 Distributed Computer Systems Engineering,"6.5840 Distributed Computer Systems Engineering()Prereq:6.1800,6.1810, or permission of instructorUnits: 3-0-9Lecture:TR1-2.30(54-100)+finalAbstractions and implementation techniques for engineering distributed systems: remote procedure call, threads and locking, client/server, peer-to-peer, consistency, fault tolerance, and security. Readings from current literature. Individual laboratory assignments culminate in the construction of a fault-tolerant and scalable network file system. Programming experience with C/C++ required. Enrollment limited.R. MorrisNo textbook information available",MIT - EECS,2024
6.5850 Principles of Computer Systems,"6.5850 Principles of Computer Systems()Not offered regularly; consult departmentPrereq: Permission of instructorUnits: 3-0-9Introduction to the basic principles of computer systems with emphasis on the use of rigorous techniques as an aid to understanding and building modern computing systems. Particular attention paid to concurrent and distributed systems. Topics include: specification and verification, concurrent algorithms, synchronization, naming, Networking, replication techniques (including distributed cache management), and principles and algorithms for achieving reliability.M. F. Kaashoek, B. Lampson, N. B. Zeldovich",MIT - EECS,2024
